Tree_order,Gene,Protein,iTOL_label,Protein_name,Type,Class,Sequence,Signal_peptide,ECD_start,ECD_end,TM,Cytoplasm,MW_ECD,MW_(ECD+FC),Tree,Cloning,AddGene,Batch,Expression,Size,Glycan_array,ARM,Simple_Class
440,AT2G18470,AT2G18470.1,AT2G18470 PERK4,PERK4,RLK,PERK,Y,0,1,151,152-172,173-633,14.1,43.9,Y,X134,,#2,5,O,O,,PERK
441,AT1G10620,AT1G10620.1,AT1G10620 PERK11,PERK11,RLK,PERK,Y,10,11,263,264-279,280-718,25.7,55.5,Y,X137,,#2,4,O,O,,PERK
442,AT3G18810,AT3G18810.1,AT3G18810 PERK6,PERK6,RLK,PERK,Y,0,1,186,187-205,206-700,18.9,48.7,Y,X132,,#3,5,O,O,,PERK
443,AT1G49270,AT1G49270.1,AT1G49270 PERK7,PERK7,RLK,PERK,Y,0,1,174,175-195,196-699,17.5,47.3,Y,X131,,#2,5,O,O,,PERK
444,AT1G66880,AT1G66880.1,AT1G66880 ,,RLK,WAKL,Y,20,21,874,875-893,894-1296,94.8,124.7,Y,X289,,#6,3,O,O,,WAK
445,AT1G70520,AT1G70520.1,AT1G70520 CRK2/ASG6,CRK2/ASG6,RLK,DUF26,Y,29,30,260,261-281,282-649,25,54.8,Y,X178,,#11,5,O,O,,CRK
446,AT5G38280,AT5G38280.1,AT5G38280 PR5K,PR5K,RLK,LRK10L-2,Y,24,25,276,277-297,298-665,27.5,57.3,Y,X299,,#5,2,O,O,,Etc
447,AT4G23230,AT4G23230.1,AT4G23230 CRK15,CRK15,RLK,DUF26,Y,0,1,156,157-177,178-507,17.5,47.3,Y,X173,,#2,2,O,O,,CRK
448,AT1G51940,AT1G51940.1,AT1G51940 LYK3,LYK3,RLK,LysM-I,Y,19,20,238,239-259,260-651,23.6,53.4,Y,G10,,#3,5,O,O,,LysM-RK
449,AT4G23320,AT4G23320.1,AT4G23320 CRK24,CRK24,RLK,DUF26,Y,0,1,117,118-136,137-437,13.7,43.5,Y,X162,,#1,0,,O,,CRK
450,AT4G23250,AT4G23250.1,AT4G23250 CRK17/RKC1,CRK17/RKC1,RLK,DUF26,Y,26,725,977,978-998,999-1035,28.4,58.2,Y,X160,,#2,5,O,O,,CRK
451,AT5G59270,AT5G59270.1,AT5G59270 LECRK-II.2,LECRK-II.2,RLK,L-LEC,Y,24,25,292,293-315,316-668,29.4,59.2,Y,,,,,,,,L-LEC-RK
452,AT4G23200,AT4G23200.1,AT4G23200 CRK12,CRK12,RLK,DUF26,Y,18,19,300,301-310,311-648,31.3,61.1,Y,X141,,#2,5,O,O,,CRK
453,AT3G21630,AT3G21630.1,AT3G21630 CERK1/LYK1,CERK1/LYK1,RLK,LysM-I,Y,23,24,237,238-256,257-617,23.2,53.1,Y,G08,,#1,5,O,O,,LysM-RK
454,AT2G23770,AT2G23770.1,AT2G23770 LYK4,LYK4,RLK,LysM-II,Y,22,23,275,276-294,295-612,27.2,57,Y,G11,,#3,3,O,O,,LysM-RK
455,AT2G33580,AT2G33580.1,AT2G33580 LYK5,LYK5,RLK,LysM-II,Y,26,27,278,279-300,301-664,27.2,57,Y,G12,,#3,5,O,O,,LysM-RK
456,AT3G59420,AT3G59420.1,AT3G59420 ACR4/CR4,ACR4/CR4,RLK,CR4L,Y,29,30,436,437-455,456-895,43.4,73.2,Y,,,,,,,,Etc
457,AT4G00970,AT4G00970.1,AT4G00970 CRK41,CRK41,RLK,DUF26,Y,27,28,280,281-302,303-665,28.1,57.9,Y,X164,,#1,5,O,O,,CRK
458,AT4G23130,AT4G23130.2,AT4G23130 CRK5/RLK6,CRK5/RLK6,RLK,DUF26,Y,24,25,281,282-302,303-663,28.4,58.2,Y,X152,,#2,5,O,O,,CRK
459,AT4G23140,AT4G23140.2,AT4G23140 CRK6,CRK6,RLK,DUF26,Y,24,25,289,290-310,311-680,29,58.8,Y,X146,,#2,5,O,O,,CRK
460,AT4G23180,AT4G23180.1,AT4G23180 CRK10/RLK4,CRK10/RLK4,RLK,DUF26,Y,34,35,286,287-308,309-669,27.6,57.4,Y,X148,,#2,5,O,O,,CRK
461,AT4G23150,AT4G23150.1,AT4G23150 CRK7,CRK7,RLK,DUF26,Y,23,24,275,276-296,297-659,28.2,58,Y,X147,,#2,5,O,O,,CRK
462,AT4G23280,AT4G23280.1,AT4G23280 CRK20,CRK20,RLK,DUF26,Y,23,24,254,255-275,276-656,25.8,55.6,Y,X150,,#1,5,O,O,,CRK
463,AT4G23270,AT4G23270.1,AT4G23270 CRK19,CRK19,RLK,DUF26,Y,20,21,263,264-285,286-645,26.8,56.7,Y,X154,,#2,5,O,O,,CRK
464,AT4G23160,AT4G23160.1,AT4G23160 CRK8,CRK8,RLK,DUF26,Y,0,615,878,879-899,900-1262,29.4,59.2,Y,,,,,,,,CRK
465,AT4G21400,AT4G21400.1,AT4G21400 CRK28,CRK28,RLK,DUF26,Y,24,25,289,290-310,311-711,29,58.8,Y,X165,,#1,5,O,O,,CRK
466,AT4G21410,AT4G21410.1,AT4G21410 CRK29,CRK29,RLK,DUF26,Y,23,24,287,288-308,309-679,29.4,59.2,Y,X166,,#1,5,O,O,,CRK
467,AT4G23190,AT4G23190.1,AT4G23190 CRK11/RLK3,CRK11/RLK3,RLK,DUF26,Y,24,25,289,290-311,312-667,28.9,58.7,Y,X144,,#2,2,O,O,,CRK
468,AT4G11490,AT4G11490.1,AT4G11490 CRK33,CRK33,RLK,DUF26,Y,25,26,266,267-289,290-636,27.3,57.1,Y,X155,,#1,5,O,O,,CRK
469,AT4G23220,AT4G23220.1,AT4G23220 CRK14,CRK14,RLK,DUF26,Y,0,86,353,354-373,374-728,29.4,59.2,Y,X142,,#2,5,O,O,,CRK
470,AT4G11480,AT4G11480.1,AT4G11480 CRK32,CRK32,RLK,DUF26,Y,23,24,262,263-283,284-656,26.6,56.4,Y,X157,,#1,5,O,O,,CRK
471,AT4G23300,AT4G23300.1,AT4G23300 CRK22,CRK22,RLK,DUF26,Y,24,25,293,294-315,316-660,29.9,59.7,Y,X145,,#1,5,O,O,,CRK
472,AT4G23210,AT4G23210.1,AT4G23210 CRK13,CRK13,RLK,DUF26,Y,24,25,299,300-320,321-610,30.7,60.5,Y,X163,,#3,5,O,O,,CRK
473,AT4G23260,AT4G23260.1,AT4G23260 CRK18,CRK18,RLK,DUF26,Y,27,28,287,288-308,309-659,28.1,57.9,Y,X159,,#2,4,O,O,,CRK
474,AT4G11460,AT4G11460.1,AT4G11460 CRK30,CRK30,RLK,DUF26,Y,24,25,285,286-306,307-700,28.8,58.6,Y,X158,,#1,4,O,O,,CRK
475,AT4G11530,AT4G11530.1,AT4G11530 CRK34,CRK34,RLK,DUF26,Y,23,24,285,286-306,307-669,28.8,58.6,Y,X143,,#1,5,O,O,,CRK
476,AT4G11470,AT4G11470.1,AT4G11470 CRK31,CRK31,RLK,DUF26,Y,23,24,279,280-301,302-666,28.5,58.3,Y,X156,,#1,5,O,O,,CRK
477,AT4G04500,AT4G04500.1,AT4G04500 CRK37,CRK37,RLK,DUF26,Y,26,27,287,288-308,309-646,29.6,59.5,Y,X169,,#1,1,X,O,,CRK
478,AT4G04510,AT4G04510.1,AT4G04510 CRK38,CRK38,RLK,DUF26,Y,25,26,280,281-299,300-648,28.6,58.4,Y,X172,,#1,5,O,O,,CRK
479,AT4G04540,AT4G04540.1,AT4G04540 CRK39,CRK39,RLK,DUF26,Y,27,28,289,290-310,311-659,29.1,58.9,Y,X171,,#1,4,O,O,,CRK
480,AT4G04570,AT4G04570.1,AT4G04570 CRK40,CRK40,RLK,DUF26,Y,27,28,287,288-308,309-654,29.2,59,Y,X170,,#1,3,O,O,,CRK
481,AT4G04490,AT4G04490.1,AT4G04490 CRK36,CRK36,RLK,DUF26,Y,26,27,282,283-301,302-658,29.2,59,Y,X168,,#1,2,O,O,,CRK
482,AT4G38830,AT4G38830.1,AT4G38830 CRK26,CRK26,RLK,DUF26,Y,22,23,283,284-304,305-665,28.8,58.6,Y,X167,,#1,5,O,O,,CRK
483,AT4G05200,AT4G05200.1,AT4G05200 CRK25,CRK25,RLK,DUF26,Y,25,26,285,286-306,307-675,28.8,58.6,Y,X149,,#1,5,O,O,,CRK
484,AT3G45860,AT3G45860.1,AT3G45860 CRK4,CRK4,RLK,DUF26,Y,18,19,288,289-309,310-676,30.2,60,Y,X153,,#1,5,O,O,,CRK
485,AT4G28670,AT4G28670.1,AT4G28670 ,,RLK,DUF26,Y,23,24,252,253-273,274-625,25.7,55.5,Y,X179,,#7,5,O,O,,CRK
486,AT1G70530,AT1G70530.1,AT1G70530 CRK3,CRK3,RLK,DUF26,Y,20,21,260,261-281,282-646,26.3,56.1,Y,X176,,#1,5,O,O,,CRK
487,AT5G40380,AT5G40380.1,AT5G40380 CRK42,CRK42,RLK,DUF26,Y,28,29,252,253-275,276-651,25,54.8,Y,X175,,#2,1,O,O,,CRK
488,AT4G21230,AT4G21230.1,AT4G21230 ,,RLK,DUF26,Y,24,25,274,275-295,296-642,27.5,57.3,Y,X180,,#2,5,O,O,,CRK
